               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.15321,            0.013557,                   0,             0.20695,             0.19515,            0.098462,             0.02738,             0.13554,            0.041003,                   0,            0.070037,           0.0033292,           0.0033292
                   1,             0.13675,            0.019166,                   0,             0.30163,             0.22392,              0.1664,            0.048467,              0.1291,            0.048109,                   0,            0.039997,           0.0066226,           0.0066226
                   2,             0.13306,            0.021009,                   0,             0.33903,             0.23166,             0.18399,            0.052394,             0.12842,            0.046628,                   0,           0.0099171,           0.0098759,           0.0098759
                   3,             0.13194,            0.021832,                   0,             0.34953,             0.25779,             0.20598,            0.059625,             0.12568,            0.048274,                   0,             0.00982,             0.00982,             0.00982
                   4,             0.13079,            0.021804,                   0,             0.37931,              0.2444,             0.22194,            0.067767,             0.12468,            0.051189,                   0,             0.00982,             0.00982,             0.00982
                   5,             0.12979,            0.022388,                   0,             0.41813,             0.26456,             0.24742,            0.074073,             0.12351,            0.050261,                   0,             0.00976,             0.00976,             0.00976
                   6,             0.12983,            0.022291,                   0,             0.43297,             0.26759,             0.25704,            0.076186,             0.12309,            0.051842,                   0,              0.0097,              0.0097,              0.0097
                   7,              0.1289,            0.022692,                   0,             0.44117,             0.26566,             0.25313,            0.074155,              0.1229,            0.052115,                   0,             0.00964,             0.00964,             0.00964
                   8,             0.12801,            0.023089,                   0,             0.46542,             0.27862,             0.26827,            0.082868,             0.12218,            0.051288,                   0,             0.00958,             0.00958,             0.00958
                   9,             0.12796,            0.023417,                   0,             0.45441,             0.27411,             0.26404,            0.076981,             0.12285,            0.051565,                   0,             0.00952,             0.00952,             0.00952
                  10,             0.12852,            0.023148,                   0,             0.43973,             0.28656,             0.27003,            0.081249,               0.122,            0.051464,                   0,             0.00946,             0.00946,             0.00946
                  11,             0.12728,            0.023415,                   0,             0.45592,             0.28134,             0.27246,            0.083382,             0.12204,            0.051444,                   0,              0.0094,              0.0094,              0.0094
                  12,             0.12709,            0.023505,                   0,             0.49338,             0.28477,             0.27958,            0.086809,             0.12137,            0.051959,                   0,             0.00934,             0.00934,             0.00934
                  13,              0.1266,            0.023734,                   0,              0.4885,             0.30009,             0.29178,             0.08867,             0.12122,            0.053103,                   0,             0.00928,             0.00928,             0.00928
                  14,             0.12801,            0.024024,                   0,             0.49086,             0.29902,             0.29661,            0.093487,             0.12103,            0.052148,                   0,             0.00922,             0.00922,             0.00922
                  15,             0.12626,            0.023294,                   0,             0.49228,             0.28807,             0.29069,            0.090978,              0.1208,            0.052885,                   0,             0.00916,             0.00916,             0.00916
                  16,             0.12666,            0.023805,                   0,             0.50022,             0.29759,             0.30263,            0.094946,             0.12085,            0.052717,                   0,              0.0091,              0.0091,              0.0091
